Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.7787881476224272,0.9681384248210024,0.6321982389152965,0.7649083109414039
Decision Tree,0.7769251242015613,0.9655213552851348,0.630639756876802,0.7629507423992458
SVM,0.7826472675656494,0.9755425008991727,0.6340684173614899,0.7685841125909134
KNN,0.7675656493967353,0.9712051632121137,0.6097560975609756,0.749162278602202
